,value,count,len
8,中国,225,2
9,电影,214,2
10,地球,209,2
11,科幻,204,2
21,没有,122,2
25,一个,105,2
26,还是,104,2
27,特效,102,2
28,流浪,101,2
29,可以,100,2
33,就是,84,2
35,不是,83,2
37,科幻片,81,3
39,真的,76,2
40,人类,76,2
42,科幻电影,72,4
43,最后,72,2
50,什么,67,2
51,煽情,66,2
52,故事,65,2
53,人物,65,2
54,好莱坞,63,3
55,这个,61,2
56,我们,60,2
62,国产,59,2
64,问题,59,2
65,但是,58,2
67,希望,58,2
68,原著,56,2
70,这部,54,2
